id,label,latitude,longitude,n1,n2,n3,n4,n5
530,11 Ave & W 59 St,40.771522,-73.990541,422,480,72,423,499
531,Forsyth St & Broome St,40.71893904,-73.99266288,473,401,361,263,412
532,S 5 Pl & S 4 St,40.710451,-73.960876,481,443,389,460,539
533,Broadway & W 39 St,40.75299641,-73.98721619,362,267,465,523,485
534,Water - Whitehall Plaza,40.70255065,-74.0127234,427,260,259,304,415
536,1 Ave & E 30 St,40.74144387,-73.97536082,527,528,2012,174,507
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,540,491,503,507,325
538,W 49 St & 5 Ave,40.75795248,-73.97787642,520,510,456,484,359
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2002,481,532,460,389
540,Lexington Ave & E 26 St,40.74147286,-73.98320928,537,491,546,507,476
545,E 23 St & 1 Ave,40.736502,-73.97809472,174,2003,507,461,2012
546,E 30 St & Park Ave S,40.74444921,-73.98303529,472,476,474,540,526
2000,Front St & Washington St,40.70255088,-73.98940236,414,430,407,321,217
2001,Sands St & Navy St,40.699773,-73.979927,144,279,418,119,278
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,539,481,460,389,532
2003,1 Ave & E 18 St,40.73416059,-73.98024289,461,504,545,487,325
2004,6 Ave & Broome St,40.724399,-74.004704,377,348,128,2010,248
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,443,389,343,242,460
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,281,352,457,468,137
2008,Little West St & 1 Pl,40.70569254,-74.01677685,304,363,427,260,534
2009,Catherine St & Monroe St,40.71117444,-73.99682619,408,308,82,296,331
2010,Grand St & Greene St,40.72165481,-74.00234737,257,377,303,268,2004
2012,E 27 St & 1 Ave,40.739445,-73.976806,174,507,536,545,528
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,455,440,518,164,516
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,479,529,450,477,173
2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,290,385,464,454,305
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,367,464,305,137,456
3002,South End Ave & Liberty St,40.711512,-74.015756,363,327,309,417,195
